Squad,NO_Pl,Age,Poss,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
Atlanta,26,26.9,57.6,34,374,3060,69,53,4,4,63,5,2.03,1.56,3.59,1.91,3.47
Chicago,25,27.5,52.4,34,374,3060,59,45,6,7,46,3,1.74,1.32,3.06,1.56,2.88
Colorado,27,27,44.4,34,374,3060,31,25,1,2,74,9,0.91,0.74,1.65,0.88,1.62
Columbus,23,26.1,52,34,374,3060,53,42,4,6,51,4,1.56,1.24,2.79,1.44,2.68
D.C. United,31,27.2,45.3,34,374,3060,27,18,2,4,53,3,0.79,0.53,1.32,0.74,1.26
FC Dallas,27,26.5,49.9,34,374,3060,48,36,3,4,61,4,1.41,1.06,2.47,1.32,2.38
Houston,26,28.2,43.9,34,374,3060,55,40,6,8,68,2,1.62,1.18,2.79,1.44,2.62
LA Galaxy,29,26.9,49.1,34,374,3060,42,30,5,5,68,12,1.24,0.88,2.12,1.09,1.97
Minnesota,29,27.7,50.6,34,374,3060,45,32,3,4,67,4,1.32,0.94,2.26,1.24,2.18
Montreal,30,28.6,48.2,34,374,3060,52,36,6,7,69,7,1.53,1.06,2.59,1.35,2.41
New England,24,27.1,45.5,34,374,3060,53,38,4,4,54,7,1.56,1.12,2.68,1.44,2.56
NY Red Bulls,26,26.9,56,34,374,3060,50,38,7,8,71,2,1.47,1.12,2.59,1.26,2.38
NYCFC,26,26.9,55.2,34,374,3060,56,43,4,6,74,3,1.65,1.26,2.91,1.53,2.79
Orlando City,28,27.1,48,34,374,3060,39,34,0,1,63,11,1.15,1,2.15,1.15,2.15
Philadelphia,26,27.6,45.6,34,374,3060,49,32,5,7,52,2,1.44,0.94,2.38,1.29,2.24
Portland,25,28.1,50.9,34,374,3060,59,43,9,11,66,5,1.74,1.26,3,1.47,2.74
Real Salt Lake,28,27.4,52.1,34,374,3060,49,36,4,4,64,5,1.44,1.06,2.5,1.32,2.38
San Jose,23,27.5,50.1,34,374,3060,39,33,1,1,53,11,1.15,0.97,2.12,1.12,2.09
Seattle,25,27.8,53.3,34,374,3060,51,36,5,6,45,7,1.5,1.06,2.56,1.35,2.41
Sporting KC,27,27.4,57.7,34,374,3060,39,25,2,3,54,3,1.15,0.74,1.88,1.09,1.82
Toronto FC,26,27.3,51.8,34,374,3060,71,47,7,11,44,1,2.09,1.38,3.47,1.88,3.26
Vancouver,31,27.3,41.7,34,374,3060,49,37,3,6,53,8,1.44,1.09,2.53,1.35,2.44
