Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Attendance,Top Team Scorer,Goalkeeper,Notes
1,FC Dallas,34,18,6,10,52,39,13,60,16013,FabiÃ¡n Castillo - 9,Dan Kennedy,â†’ Conference Semifinals
2,Vancouver,34,16,5,13,45,36,9,53,20507,Octavio Rivero - 10,David Ousted,â†’ Conference Semifinals
3,Portland,34,15,8,11,41,39,2,53,21144,Fanendo Adi - 16,Adam Larsen Kwarasey,â†’ Knockout round
4,Seattle,34,15,6,13,44,36,8,51,44247,Obafemi Martins - 15,Stefan Frei,â†’ Knockout round
5,LA Galaxy,34,14,9,11,56,46,10,51,23392,Robbie Keane - 20,Jaime Penedo,â†’ Knockout round
6,Sporting KC,34,14,9,11,48,45,3,51,19687,Dom Dwyer - 12,Tim Melia,â†’ Knockout round
7,San Jose,34,13,8,13,41,39,2,47,20979,Chris Wondolowski - 16,David Bingham,
8,Houston,34,11,9,14,42,49,-7,42,20658,Will Bruin - 11,Tyler Deric,
9,Real Salt Lake,34,11,8,15,38,48,-10,41,20160,Javier Morales - 8,Nick Rimando,
10,Colorado,34,9,10,15,33,43,-10,37,15657,Kevin Doyle - 5,Clint Irwin,
